0;1825;5610
1;2213;5319
2;1717;5100
3;2600;5043
4;1642;4779
5;1812;4757
6;2088;4717
7;1832;4722
8;2477;4685
9;1513;4573
10;580;4426
11;1977;4345
12;1977;4414
13;1554;4582
14;1600;4338
15;1513;4332
16;1143;4342
17;1437;4216
18;1735;4221
19;1394;4343
20;1503;4274
21;1512;3967
22;1093;3829
23;1079;3872
24;562;4073
25;552;4114
26;1513;3797
27;498;3781
28;613;3407
29;578;3425
30;441;3316
31;530;2956
32;530;2880
33;424;2719
34;472;2684
35;378;2700
36;373;2476
37;357;2653
38;366;2264
39;359;2170
40;341;2235
41;338;2304
42;355;2253
43;337;2195
44;354;2117
45;362;2275
46;340;2159
47;399;2276
48;371;2068
49;362;2338
50;343;2357
51;371;2252
52;353;2030
53;354;2139
54;359;2278
55;331;1958
56;312;1933
57;328;1910
58;321;2123
59;250;1775
60;298;1876
61;312;2024
62;305;1961
63;273;1967
64;224;1981
65;280;2070
66;278;1947
67;222;1742
68;226;1814
69;251;1868
70;214;1845
71;209;1599
72;217;1510
73;222;1707
74;222;1600
75;190;1600
76;218;1621
77;216;1732
78;286;1683
79;251;1770
80;267;1775
81;280;1917
82;267;1698
83;271;1615
84;332;1947
85;225;2039
86;226;1818
87;245;1836
88;233;2083
89;220;1832
90;242;1643
91;209;1726
92;224;1673
93;185;1824
94;219;1753
95;200;1618
96;205;1629
97;205;1442
98;176;1565
99;229;1552
